variable,value,units,description
"D@K_constant",204431,"in*Hz/in (imperial K)","Free-free metal beam K. 6061-T6 Aluminum default. Update for alternate metals."
"D@thickness",0.25,"in","Bar thickness; uniform across all members."
"D@width",1.0,"in","Bar width; does NOT affect frequency in this mode."
"D@node_ratio_1",0.2242,"-","First node position as fraction of bar length (free-free first mode)."
"D@node_ratio_2",0.7758,"-","Second node position as fraction of bar length."
"D@node_hole_dia",0.1875,"in","Cord/grommet pass-through hole."
"D@bar_spacing",1.25,"in","Center-to-center bar spacing in frame rail."
"D@accidental_offset",0.5,"in","Vertical offset of sharps/flats row above naturals row."
"D@frame_thickness",0.75,"in","Walnut rail nominal thickness."
"D@frame_depth",2.5,"in","Walnut rail nominal depth (front rail)."
"D@grommet_pocket_dia",0.45,"in","Routed pocket diameter for grommet seat."
"D@grommet_pocket_depth",0.30,"in","Routed pocket depth."
"D@stainless_rod_dia",0.125,"in","1/8 in 304 SS support rod."
"D@cut_long_allowance",0.25,"in","Bar cut-long allowance for trim-to-pitch discipline."
